type_cancer,info
tipo01,recomendações1
tipo02,recomendações2
tipo03,recomendações3
tipo04,recomendações4
tipo05,recomendaçẽos5
Boca,recomendaçẽos6
Colo do Útero,recomendaçẽos7
Colorretal,recomendaçẽos8
Esôfago,recomendaçẽos9
Estômago,recomendaçẽos10
Leucemia,A leucemia é um câncer maligno que começa na medula óssea onde as células sanguíneas são produzidas. Os leucócitos (glóbulos brancos) são as células acometidas o que faz com que  se reproduzam descontroladamente gerando sintomas e sinais da doença. No primeiro momento o diagnóstico da leucemia pode se tornar um terror para os familiares e para o paciente mas com o passar do tempo as pessoas aprendem a lidar com o problema.
É indicado estudar sobre a doença que tem para conseguir debater com o médico sobre o tratamento sintomas diagnóstico e também para que ele possa sanar suas dúvidas.
Mama, O câncer de mama é um tumor maligno que se desenvolve na mama como consequência de alterações genéticas em algum conjunto de células da mama que passam a se dividir descontroladamente. Chegando ao consultório com a mamografia suspeita para câncer de mama o médico fará perguntas sobre seu histórico familiar da doença idade data de início da menstruação se você já está na menopausa e outras questões relacionadas a fatores de risco. Depois fará a análise da mamografia e da biópsia a fim de encontrar o diagnóstico.
Pele,recomendaçẽos13
Próstata,recomendaçẽos14
Pulmão,recomendaçẽos15
Tireoide,recomendaçẽos16
